"id","chapter","section","content"
"580231","QUY ĐỊNH: Phân loại trình độ đầu vào và chương trình môn học và chuẩn ngoại ngữ yêu cầu đối với sinh viên đại học hệ chính quy","Điều 1. Phạm vi và đối tượng áp dụng","1. Văn bản này quy định về công tác tổ chức đánh giá và phân loại trình độ ngoại ngữ đầu vào; chương trình môn học ngoại ngữ; điều kiện được miễn học các học phần ngoại ngữ; chuẩn ngoại ngữ yêu cầu theo số lượng tín chỉ tích lũy và chuẩn ngoại ngữ đầu ra.
2. Quy định này áp dụng cho sinh viên đại học hệ chính quy, không thuộc ngành Ngôn ngữ Anh của Đại học Bách khoa Hà Nội.
3. Quy định này không áp dụng cho sinh viên là người nước ngoài đang học tại Đại học Bách khoa Hà Nội."
"763019","QUY ĐỊNH: Phân loại trình độ đầu vào và chương trình môn học và chuẩn ngoại ngữ yêu cầu đối với sinh viên đại học hệ chính quy","Điều 2. Phân loại trình độ đầu vào và phân lớp học ngoại ngữ","1. Căn cứ phân loại trình độ ngoại ngữ đầu vào với sinh viên thuộc chương trình đào tạo có yêu cầu chuẩn đầu ra là tiếng Anh dựa trên một hoặc nhiều tiêu chí, bao gồm:
+ Dựa trên kết quả kiểm tra tiếng Anh đầu khóa;
+ Hoặc dựa trên chứng chỉ tiếng Anh quốc gia, quốc tế;
+ Hoặc dựa trên điểm thi môn tiếng Anh của kỳ thi tốt nghiệp trung học phổ thông (THPT) tại năm nhập học.
Việc lựa chọn tiêu chí phân loại cụ thể trong số các tiêu chí trên đây có thể thay đổi theo từng khóa tuyển sinh.
2. Căn cứ phân loại trình độ ngoại ngữ đầu vào với sinh viên thuộc chương trình đào tạo có yêu cầu chuẩn đầu ra là ngoại ngữ khác tiếng Anh: dựa trên chứng chỉ quốc tế của ngôn ngữ tương ứng.
3. Căn cứ trên kết quả phân loại trình độ ngoại ngữ đầu vào, sinh viên được xét miễn học các học phần theo quy định và được xếp lớp học ngoại ngữ tương ứng.
4. Sinh viên không đáp ứng điều kiện phân loại trình độ ngoại ngữ theo khoản 1 hoặc khoản 2 của điều này sẽ phải học toàn bộ các học phần ngoại ngữ tương ứng với từng chương trình đào tạo theo lộ trình quy định."
"39168","QUY ĐỊNH: Phân loại trình độ đầu vào và chương trình môn học và chuẩn ngoại ngữ yêu cầu đối với sinh viên đại học hệ chính quy","Điều 3. Công nhận và xét miễn học phần ngoại ngữ","1. Tất cả các học phần ngoại ngữ tương ứng với từng chương trình đào tạo là các học phần bắt buộc. Lộ trình học tập đối với các học phần ngoại ngữ được quy định như sau:
a. Ban Đào tạo sẽ đăng ký các học phần ngoại ngữ đối với 2 học kỳ đầu cho sinh viên dựa theo kết quả phân loại trình độ ngoại ngữ đầu vào.
b. Học kỳ thứ 3: dành cho sinh viên để tự đăng ký học lại các học phần ngoại ngữ không đạt ở 2 học kỳ đầu (nếu có) và chủ động thi chứng chỉ ngoại ngữ.
c. Từ kỳ thứ 4 trở đi: Ban Đào tạo sẽ thực hiện việc đăng ký bắt buộc các học phần ngoại ngữ đối với các sinh viên không đạt chuẩn ngoại ngữ theo số lượng tín chỉ tích lũy.
2. Trong quá trình học tập, nếu sinh viên đạt được chứng chỉ ngoại ngữ theo quy định sẽ được xét miễn các học phần ngoại ngữ tương ứng với trình độ đạt được. Các học phần được miễn sẽ được ghi điểm R trong bảng điểm.
3. Chứng chỉ ngoại ngữ để xét miễn học phần phải còn hạn theo quy định tính tới thời điểm nộp đơn xét miễn. Danh sách chứng chỉ và các học phần được miễn được ghi trong các phụ lục tương ứng kèm theo Quy định này.
4. Toàn bộ các chứng chỉ ngoại ngữ quốc gia, quốc tế phải được thẩm định nguồn gốc và cập nhật mức điểm lên hệ thống phần mềm quản lý đào tạo trước thời điểm nộp đơn đề nghị xét miễn học phần ngoại ngữ.
5. Thời gian tiếp nhận đơn đề nghị xét miễn học phần ngoại ngữ muộn nhất là 2 tuần trước khi bắt đầu học kỳ theo Khung kế hoạch thời gian của năm học."
"891346","QUY ĐỊNH: Phân loại trình độ đầu vào và chương trình môn học và chuẩn ngoại ngữ yêu cầu đối với sinh viên đại học hệ chính quy","Điều 4. Yêu cầu về chuẩn ngoại ngữ theo tín chỉ tích lũy và chuẩn ngoại ngữ đầu ra","1. Yêu cầu về chuẩn ngoại ngữ theo số lượng tín chỉ tích lũy và chuẩn ngoại ngữ đầu ra được quy định cụ thể cho từng chương trình đào tạo tại các phụ lục tương ứng kèm theo Quy định này.
2. Kết quả thi các kỳ thi ngoại ngữ nội bộ của Đại học Bách khoa Hà Nội được công nhận để xét điều kiện chuẩn ngoại ngữ theo số lượng tín chỉ tích lũy.
3. Sinh viên được tham dự các kỳ thi tiếng Anh nội bộ của Đại học Bách khoa Hà Nội nhiều lần và được công nhận điểm thi cao nhất trong các lần thi. Kết quả thi này có giá trị công nhận trong vòng 2 năm kể từ ngày thi.
4. Sinh viên thuộc các chương trình đào tạo Elitech (bao gồm chương trình tiên tiến, chương trình đào tạo tài năng và chương trình đào tạo hợp tác quốc tế) có ngoại ngữ yêu cầu là tiếng Anh và sinh viên thuộc các chương trình đào tạo chuẩn phải có chứng chỉ tiếng Anh quốc tế 4 kỹ năng hoặc chứng chỉ VSTEP tương đương để được xét công nhận đạt chuẩn ngoại ngữ đầu ra. Các chứng chỉ tiếng Anh có giá trị công nhận trong vòng 2 năm kể từ ngày cấp."
"428560","QUY ĐỊNH: Phân loại trình độ đầu vào và chương trình môn học và chuẩn ngoại ngữ yêu cầu đối với sinh viên đại học hệ chính quy","Điều 5. Hạn chế khối lượng học tập trong trường hợp không đạt chuẩn ngoại ngữ theo tín chỉ tích lũy và điều kiện gỡ bỏ hạn chế","1. Sinh viên không đạt chuẩn ngoại ngữ quy định theo số lượng tín chỉ tích lũy sẽ bị hạn chế khối lượng tín chỉ học tập theo Quy chế đào tạo hiện hành.
2. Điều kiện gỡ bỏ hạn chế khối lượng tín chỉ học tập được quy định cụ thể tại các phụ lục tương ứng kèm theo Quy định này."
"145782","QUY ĐỊNH: Phân loại trình độ đầu vào và chương trình môn học và chuẩn ngoại ngữ yêu cầu đối với sinh viên đại học hệ chính quy","Điều 6. Các trường hợp ngoại lệ","Các trường hợp ngoại lệ sẽ do Ban Đào tạo đề xuất và trình Giám đốc đại học quyết định."
"907534","QUY ĐỊNH: Phân loại trình độ đầu vào và chương trình môn học và chuẩn ngoại ngữ yêu cầu đối với sinh viên đại học hệ chính quy","Điều 7. Hiệu lực thi hành","1. Quy định này được áp dụng từ năm học 2023-2024 đối với các chương trình đào tạo kể từ khóa 68 trở về sau.
2. Quy định hiện hành về ngoại ngữ đối với các chương trình đào tạo từ khóa 67 trở về trước vẫn tiếp tục còn hiệu lực thi hành cho đến thời điểm kết thúc khóa đào tạo."
"674123","PHỤ LỤC 1 Danh mục các chương trình đào tạo và ngoại ngữ chính yêu cầu","Yêu cầu ngôn ngữ chính cho LOẠI/TÊN CHƯƠNG TRÌNH ĐÀO TẠO trung học phổ thông","Yêu cầu nngôn ngữ chính dành cho các chương trình đào tạo:
Các chương trình đào tạo chuẩn: Tiếng Anh
Các chương trình đào tạo tài năng: Tiếng Anh
Các chương trình PFIEV: Tiếng Pháp
Các chương trình Elitech, chương trình tăng cường ngoại ngữ:
1. Công nghệ thông tin Global ICT – Tiếng Anh
2. Khoa học dữ liệu và Trí tuệ nhân tạo – Tiếng Anh
3. An toàn không gian số – Tiếng Anh
4. Kỹ thuật điều khiển - Tự động hóa – Tiếng Anh
5. Kỹ thuật điện và tin học công nghiệp – Tiếng Anh
6. Kỹ thuật Điện tử - Viễn thông – Tiếng Anh
7. Công nghệ thông tin – Tiếng Anh
8. Truyền thông số và kỹ thuật đa phương tiện – Tiếng Anh
9. Kỹ thuật Cơ điện tử – Tiếng Anh
10. Cơ kỹ thuật – Tiếng Anh
11. Khoa học và Kỹ thuật Vật liệu – Tiếng Anh
12. Kỹ thuật hóa học – Tiếng Anh
13.Kỹ thuật thực phẩm – Tiếng Anh
14. Kỹ thuật sinh học – Tiếng Anh
15. Phân tích kinh doanh – Tiếng Anh
16. Logistic và Quản lý chuỗi cung ứng – Tiếng Anh
17. Hệ thống nhúng thông minh và IoT – Tiếng Nhật
18. Công nghệ thông tin Việt-Nhật – Tiếng Nhật
19. Kỹ thuật cơ điện tử Việt-Pháp – Tiếng Pháp
20. Kinh tế - Quản trị kinh doanh (Việt-Pháp) – Tiếng Pháp
Các chương trình đào tạo hợp tác quốc tế:
1. Cơ khí Chế tạo máy (ĐH Đại học Griffith, Úc) – Tiếng Anh
2. Cơ điện tử (ĐH Nagaoka, Nhật Bản) – Tiếng Nhật
3. Cơ điện tử (ĐH Leibniz Hannover, Đức) – Tiếng Đức
4. Cơ điện tử (ĐH Leibniz Hannover, Đức) – Tiếng Anh
5. Kinh tế và kinh doanh (ĐH TROY, Mỹ) – Tiếng Anh
6. Khoa học Máy tính (ĐH TROY, Mỹ) – Tiếng Anh"
"317456","PHỤ LỤC 2 Bảng quy đổi tương đương các chứng chỉ tiếng Anh","1. Bảng quy đổi tương đương các chứng chỉ tiếng Anh","Khung năng lực ngoại ngữ Việt Nam (NLNNVN) có 6 bậc, dưới đây là quy đổi tương đương 4 bậc với các chuẩn quốc tế như CEFR, PEIC, TOEIC, TOEFL, VSTEP, IELTS, APTIS và Cambridge.
Bậc 1.1 tương đương CEFR A1, PEIC Level A1, TOEIC 2 kỹ năng <250, TOEIC Nghe 60–80, Đọc 60–80, Nói 50–60, Viết 30–40, TOEFL iBT ≤10, TOEFL ITP ≤337, không có mức VSTEP tương đương, IELTS ≤2.0, APTIS ≤45, Cambridge English 100–110 (KET).
Bậc 1.2 tương đương CEFR A1, PEIC Level A1, TOEIC 2 kỹ năng 250–345, TOEIC Nghe 85–105, Đọc 85–110, Nói 70–80, Viết 50–60, TOEFL iBT 11–20, TOEFL ITP 338–360, không có mức VSTEP tương đương, IELTS 2.5, APTIS 46–65, Cambridge English 111–119 (KET).
Bậc 2.1 tương đương CEFR A2, PEIC Level 1, TOEIC 2 kỹ năng 350–395, TOEIC Nghe 110–150, Đọc 115–150, Nói 90, Viết 80, TOEFL iBT 21–25, TOEFL ITP 361–400, VSTEP 3.0, IELTS 3.0, APTIS 66–75, Cambridge English 120–129 (KET).
Bậc 2.2 tương đương CEFR A2, PEIC Level 1, TOEIC 2 kỹ năng 400–445, TOEIC Nghe 155–195, Đọc 155–190, Nói 100, Viết 100, TOEFL iBT 26–30, TOEFL ITP 401–430, VSTEP 3.5, IELTS 3.5, APTIS 76–86, Cambridge English 130–135 (KET).
Bậc 2.3 tương đương CEFR A2, PEIC Level 1, TOEIC 2 kỹ năng 450–495, TOEIC Nghe 200–240, Đọc 200–240, Nói 120, Viết 120, TOEFL iBT 31–36, TOEFL ITP 431–449, VSTEP 4.0, IELTS 4.0, APTIS 87–101, Cambridge English 136–139 (KET).
Bậc 3.1 tương đương CEFR B1, PEIC Level 2, TOEIC 2 kỹ năng 500–545, TOEIC Nghe 240–270, Đọc 240–270, Nói 120, Viết 120, TOEFL iBT 37–38, TOEFL ITP 450–459, VSTEP 4.0, IELTS 4.0, APTIS 102–115, Cambridge English 140–149 (PET).
Bậc 3.2 tương đương CEFR B1, PEIC Level 2, TOEIC 2 kỹ năng 550–595, TOEIC Nghe 275–295, Đọc 275–295, Nói 130, Viết 130, TOEFL iBT 39–40, TOEFL ITP 460–469, VSTEP 4.5, IELTS 4.5, APTIS 116–127, Cambridge English 140–149 (PET).
Bậc 3.3 tương đương CEFR B1, PEIC Level 2, TOEIC 2 kỹ năng 600–645, TOEIC Nghe 295–320, Đọc 295–320, Nói 130, Viết 130, TOEFL iBT 41–42, TOEFL ITP 470–479, VSTEP 5.0, IELTS 5.0, APTIS 128–135, Cambridge English 150–155 (PET).
Bậc 3.4 tương đương CEFR B1, PEIC Level 2, TOEIC 2 kỹ năng 650–700, TOEIC Nghe 325–350, Đọc 325–350, Nói 140, Viết 140, TOEFL iBT 43–44, TOEFL ITP 480–489, VSTEP 5.0, IELTS 5.0, APTIS 136–144, Cambridge English 156–159 (PET).
Bậc 3.5 tương đương CEFR B1, PEIC Level 2, TOEIC 2 kỹ năng 705–780, TOEIC Nghe 355–395, Đọc 355–395, Nói 140, Viết 140, TOEFL iBT 45, TOEFL ITP 490–499, VSTEP 5.0, IELTS 5.0, APTIS 145–152, Cambridge English 156–159 (PET).
Bậc 4 tương đương CEFR B2, PEIC Level 3, TOEIC 2 kỹ năng ≥785, TOEIC Nghe ≥400, Đọc ≥385, Nói ≥150, Viết ≥150, TOEFL iBT ≥46, TOEFL ITP ≥500, VSTEP ≥6.0, IELTS ≥5.5, APTIS 153–183, Cambridge English ≥160 (PET/FCE)."
"251489","PHỤ LỤC 2 Bảng quy đổi tương đương các chứng chỉ tiếng Anh","2. Điều kiện xét quy đổi tương đương chứng chỉ","+ Đối với chứng chỉ TOEIC 4 kỹ năng: quy đổi tương đương sang các chứng chỉ khác dựa theo theo kỹ năng đạt điểm thấp nhất.
+ Sinh viên có chứng chỉ TOEIC 2 kỹ năng được công nhận để xét điều kiện chuẩn ngoại ngữ theo số lượng tín chỉ tích lũy, tuy nhiên không được công nhận để xét nhận Đồ án tốt nghiệp/Khóa luận tốt nghiệp, không được công nhận để xét tốt nghiệp.
+ Các trường hợp quy đổi tương đương khác do Ban Đào tạo đề xuất và trình Giám đốc Đại học quyết định."
