"﻿""id""","chapter","section","content"
"937148","QUY ĐỊNH: Phân loại trình độ đầu vào và chương trình môn học và chuẩn ngoại ngữ yêu cầu đối với sinh viên đại học hệ chính quy","Điều 1. Phạm vi và đối tượng áp dụng","1. Văn bản này quy định về công tác tổ chức đánh giá và phân loại trình độ ngoại ngữ đầu vào; chương trình môn học ngoại ngữ; điều kiện được miễn học các học phần ngoại ngữ; chuẩn ngoại ngữ yêu cầu theo số lượng tín chỉ tích lũy và chuẩn ngoại ngữ đầu ra.
2. Quy định này áp dụng cho sinh viên đại học hệ chính quy, không thuộc ngành Ngôn ngữ Anh của Đại học Bách khoa Hà Nội.
3. Quy định này không áp dụng cho sinh viên là người nước ngoài đang học tại Đại học Bách khoa Hà Nội."
"398526","QUY ĐỊNH: Phân loại trình độ đầu vào và chương trình môn học và chuẩn ngoại ngữ yêu cầu đối với sinh viên đại học hệ chính quy","Điều 2. Phân loại trình độ đầu vào và phân lớp học ngoại ngữ","1. Căn cứ phân loại trình độ ngoại ngữ đầu vào với sinh viên thuộc chương trình đào tạo có yêu cầu chuẩn đầu ra là tiếng Anh:
a, Đối với các sinh viên thuộc chương trình đào tạo chuẩn: phân loại dựa trên điểm thi môn tiếng Anh của kỳ thi tốt nghiệp THPT tại năm nhập học hoặc chứng chỉ tiếng Anh quốc tế;
b, Đối với các sinh viên thuộc các chương trình đào tạo tiên tiến, tài năng và chương trình hợp tác quốc tế: phân loại dựa trên kết quả kiểm tra tiếng Anh nội bộ đầu khóa hoặc chứng chỉ tiếng Anh quốc tế;
2. Căn cứ phân loại trình độ ngoại ngữ đầu vào với sinh viên thuộc chương trình đào tạo có yêu cầu chuẩn đầu ra là ngoại ngữ khác tiếng Anh:phân loại dựa trên điểm thi môn ngoại ngữ tương ứng của kỳ thi tốt nghiệp THPT tại năm nhập học hoặc dựa trên chứng chỉ quốc tế của ngôn ngữ tương ứng.
3. Căn cứ trên kết quả phân loại trình độ ngoại ngữ đầu vào, sinh viên được xét miễn học các học phần theo quy định và được xếp lớp học ngoại ngữ tương ứng.
4. Sinh viên không đáp ứng điều kiện phân loại trình độ ngoại ngữ theo khoản 1 hoặc khoản 2 của điều này sẽ phải học toàn bộ các học phần ngoại ngữ tương ứng với từng chương trình đào tạo theo lộ trình quy định."
"846209","QUY ĐỊNH: Phân loại trình độ đầu vào và chương trình môn học và chuẩn ngoại ngữ yêu cầu đối với sinh viên đại học hệ chính quy","Điều 3. Công nhận, xét miễn học phần ngoại ngữ","1. Tất cả các học phần ngoại ngữ tương ứng với từng chương trình đào tạo là các học phần bắt buộc. Nhà trường sẽ đăng ký các học phần ngoại ngữ theo kế hoạch học tập chuẩn cho các sinh viên.
2. Trong quá trình học tập, nếu sinh viên đạt được chứng chỉ ngoại ngữ theo quy định sẽ được xét miễn các học phần ngoại ngữ tương ứng với trình độ đạt được. Các học phần được miễn sẽ được ghi điểm R trong bảng điểm.
3. Chứng chỉ ngoại ngữ để xét miễn học phần phải còn hạn theo quy định tính tới thời điểm nộp đơn xét miễn. Danh sách chứng chỉ và các học phần được miễn được ghi trong các phụ lục tương ứng kèm theo Quy định này.
4. Toàn bộ các chứng chỉ ngoại ngữ quốc gia, quốc tế phải được thẩm định nguồn gốc và cập nhật mức điểm lên hệ thống phần mềm quản lý đào tạo trước thời điểm nộp đơn đề nghị xét miễn học phần ngoại ngữ.
5. Thời gian tiếp nhận đơn đề nghị xét miễn học phần ngoại ngữ muộn nhất là 2 tuần trước khi bắt đầu học kỳ theo Khung kế hoạch thời gian của năm học."
"452096","QUY ĐỊNH: Phân loại trình độ đầu vào và chương trình môn học và chuẩn ngoại ngữ yêu cầu đối với sinh viên đại học hệ chính quy","Điều 4. Yêu cầu về chuẩn ngoại ngữ theo tín chỉ tích lũy và chuẩn ngoại ngữ đầu ra","1. Yêu cầu về chuẩn ngoại ngữ theo số lượng tín chỉ tích lũy và chuẩn ngoại ngữ đầu ra được quy định cụ thể cho từng chương trình đào tạo tại các phụ lục tương ứng được ban hành kèm theo Quy định này.
2. Kết quả thi các kỳ thi ngoại ngữ nội bộ của Đại học Bách khoa Hà Nội được công nhận để xét điều kiện chuẩn ngoại ngữ theo số lượng tín chỉ tích lũy. Riêng với các sinh viên thuộc các chương trình đào tạo tiên tiến, chương trình đào tạo tài năng và chương trình đào tạo hợp tác quốc tế phải có chứng chỉ tiếng Anh quốc tế để được xét công nhận đạt chuẩn ngoại ngữ đầu ra.
3. Sinh viên được tham dự các kỳ thi tiếng Anh nội bộ của Đại học Bách khoa Hà Nội nhiều lần và được công nhận điểm thi cao nhất trong các lần thi. Kết quả thi này có giá trị công nhận trong vòng 2 năm kể từ ngày thi."
"174952","QUY ĐỊNH: Phân loại trình độ đầu vào và chương trình môn học và chuẩn ngoại ngữ yêu cầu đối với sinh viên đại học hệ chính quy","Điều 5. Hạn chế khối lượng học tập trong trường hợp không đạt chuẩn ngoại ngữ theo tín chỉ tích lũy và điều kiện gỡ bỏ hạn chế","1. Sinh viên không đạt chuẩn ngoại ngữ quy định theo số lượng tín chỉ tích lũy sẽ chỉ được đăng ký tối đa 14 tín chỉ và tối thiểu 8 tín chỉ cho một học kỳ chính, tương ứng với quy định tại Điều 19 của quy chế đào tạo chính quy.
2. Điều kiện gỡ bỏ hạn chế khối lượng học tập:
a, Chỉ áp dụng với sinh viên các chương tình đào tạo chuẩn , đào tạo tài năng, đào tạo tiên tiến và quốc tế với chuẩn ngoại ngữ đầu ra là tiếng Anh và đang ở trong trạng thái bị hạn chế khối lượng học tập theo quy định tại mục 1 của điều này.
b, Sinh viên được gỡ bỏ mức hạn chế khối lượng học tập hoặc được tiếp tục học tập nếu đã đăng ký học tại Trường ít nhất 90 tiết học các học phần tiếng Anh bổ trợ. Các học phần tiếng Anh bổ trợ được đăng ký học phải đảm bảo tương đương với trình độ tiếng Anh yêu cầu trong học kỳ cần gỡ bỏ hạn chế khối lượng học tập.
c, Yêu cầu về chuyên cần khi tham gia học các học phần tiếng Anh bổ trợ: sinh viên cần đảm bảo tham dự tối thiểu 80% số tiết học yêu cầu của mỗi học phần. Những sinh viên không đảm bảo điều kiện chuyên cần với bất cứ học phần tiếng Anh bổ trợ nào đã đăng ký sẽ bị áp dụng mức hạn chế khối lượng học tập ở học kỳ kế tiếp.
d, Điều kiện gỡ bỏ giới hạn khối lượng học tập không áp dụng cho các trường hợp sinh viên bị cảnh báo học tập, xét nhận đồ án tốt nghiệp/khóa luận tốt nghiệp, xét tốt nghiệp"
"620175","QUY ĐỊNH: Phân loại trình độ đầu vào và chương trình môn học và chuẩn ngoại ngữ yêu cầu đối với sinh viên đại học hệ chính quy","Điều 6. Các trường hợp ngoại lệ","Các trường hợp ngoại lệ sẽ do đơn vị chức năng quản lý đào tạo đề xuất để Hiệu trưởng quyết định, căn cứ các quy định hiện hành của Bộ Giáo dục và Đào tạo."
"201794","QUY ĐỊNH: Phân loại trình độ đầu vào và chương trình môn học và chuẩn ngoại ngữ yêu cầu đối với sinh viên đại học hệ chính quy","Điều 7. Hiệu lực thi hành","1. Quy định này được áp dụng từ năm học 2020-2021 đối với các chương trình đào tạo kể từ khóa K65 trở về sau.
2. Quy định hiện hành về ngoại ngữ đối với các chương trình đào tạo từ khóa K64 trở về trước vẫn còn hiệu lực thi hành cho đến thời điểm kết thúc khóa đào tạo."
"753960","PHỤ LỤC 1 Danh mục các chương trình đào tạo và ngoại ngữ chính yêu cầu","Yêu cầu ngôn ngữ chính cho LOẠI/TÊN CHƯƠNG TRÌNH ĐÀO TẠO trung học phổ thông","Yêu cầu nngôn ngữ chính dành cho các chương trình đào tạo:
Các chương trình đào tạo chuẩn: Tiếng Anh
Các chương trình đào tạo tài năng: Tiếng Anh
Các chương trình đào tạo chất lượng cao PFIEV: Tiếng Pháp
Các chương trình đào tạo tiên tiến:
1. Công nghệ thông tin Global ICT – Tiếng Anh
2. Khoa học dữ liệu và Trí tuệ nhân tạo – Tiếng Anh
3. Kỹ thuật điều khiển - Tự động hóa – Tiếng Anh
4. Kỹ thuật Điện tử - Viễn thông – Tiếng Anh
5. Kỹ thuật Y Sinh – Tiếng Anh
6. Kỹ thuật Cơ điện tử – Tiếng Anh
7. Kỹ thuật Ô tô – Tiếng Anh
8. Khoa học và Kỹ thuật Vật liệu – Tiếng Anh
9. Kỹ thuật hóa học – Tiếng Anh
10. Kỹ thuật thực phẩm – Tiếng Anh
11. Phân tích kinh doanh – Tiếng Anh
12. Logistic và Quản lý chuỗi cung ứng – Tiếng Anh
13. Hệ thống nhúng thông minh và IoT – Tiếng Nhật
14. Công nghệ thông tin Việt-Nhật – Tiếng Nhật
15. Kỹ thuật cơ điện tử Việt-Pháp – Tiếng Pháp
Các chương trình đào tạo hợp tác quốc tế:
1. Công nghệ thông tin (ĐH La Trobe, Úc) – Tiếng Anh
2. Công nghệ thông tin (ĐH Victoria Wellington, New Zealand) – Tiếng Anh
3. Quản trị kinh doanh (ĐH Victoria Wellington, New Zealand) – Tiếng Anh
1. Cơ khí Chế tạo máy (ĐH Đại học Griffith, Úc) – Tiếng Anh
5. Logistic và Quản lý chuỗi cung ứng (ĐH Northamton, Anh, từ K64 trở về) – Tiếng Anh
2. Cơ điện tử (ĐH Nagaoka, Nhật Bản) – Tiếng Nhật
7. Điện tử Viễn thông (ĐH Leibniz, Đức) – Tiếng Đức
4. Cơ điện tử (ĐH Leibniz Hannover, Đức) – Tiếng Đức
5. Quản trị kinh doanh (ĐH TROY, Mỹ) – Tiếng Anh
6. Khoa học Máy tính (ĐH TROY, Mỹ) – Tiếng Anh"
"085371","PHỤ LỤC 2 Bảng quy đổi tương đương các chứng chỉ tiếng Anh","1. Bảng quy đổi tương đương các chứng chỉ tiếng Anh","TOEIC 350 tương đương trình độ A1 (APTIS General từ 55–65)
TOEIC 400 tương đương trình độ A2 (APTIS General từ 66–101), TOEFL iBT từ 25–31, IELTS từ 3.0 đến 3.5, bài thi KET đạt điểm C hoặc B
TOEIC 500 tương đương trình độ B1 (APTIS General 102–130, APTIS Advanced 74–109), TOEFL iBT 32–34, IELTS từ 4.0 đến 4.5
TOEIC 600 tương đương trình độ B1 (APTIS General 131–152, APTIS Advanced 110–125), TOEFL iBT 35–45, IELTS 5.0
TOEIC 650 tương đương trình độ B2 (APTIS General 153–159, APTIS Advanced 126–152), TOEFL iBT 46–59, IELTS 5.5
TOEIC 750 tương đương trình độ B2 (APTIS General 160–183, APTIS Advanced 153–165), TOEFL iBT 60–78, IELTS 6.0
TOEIC từ 850 đến 950 tương đương trình độ C (APTIS General ≥183, APTIS Advanced 166–199), TOEFL iBT từ 79–114, IELTS từ 6.5 đến 8.0"
"542176","PHỤ LỤC 2 Bảng quy đổi tương đương các chứng chỉ tiếng Anh","2. Điều kiện xét tương đương","+ Sinh viên có các chứng chỉ tiếng Anh APTIS, TOEFL, IELTS, Cambridge (4 kỹ năng) được phép quy đổi tương đương nhau và quy đổi sang chứng chỉ TOEIC (2 kỹ năng) để xét tốt nghiệp.
+ Sinh viên có chứng chỉ TOEIC (2 kỹ năng) được phép quy đổi tương đương sang các chứng chỉ APTIS, TOEFL, IELTS, Cambridge (4 kỹ năng) để xét đạt chuẩn ngoại ngữ theo số tín chỉ tích lũy trong trường hợp cần thiết, tuy nhiên không được quy đổi tương đương để xét tốt nghiệp.
+ Các trường hợp quy đổi tương đương khác do Hiệu trưởng quyết định."
